Job Title,Role,Level,Company,Years of Experience,Location,Salary Range,Required Skills,Source Platform
"Engineer, Advance Quality Planning",software engineer,Intermediate,"Molex Vietnam Co., Ltd.",4,Hồ Chí Minh,Thương lượng,"Human Affairs, Manufacture Process, Quality Control, Quality Inspection, Standards Creation",Vietnamworks
Technical Support Engineer,IT Support,Junior,Công Ty TNHH Servers.com VN,1,Hồ Chí Minh,$500.00-1300.00,"Technical Support, System Administration, IT System Administration, Linux, Business English",Vietnamworks
Senior UX/UI Designer,UX/UI Designer,Senior,Capgemini Vietnam,5,Hồ Chí Minh,Thương lượng,"Adobe Creative Suite, English, Thiết Kế UI-UX, Figma, HTML/CSS",Vietnamworks
"Senior QC Inspector/ QC Supervisor, Footwear (Tien Giang)",QA Engineer,Senior,Amer Sports Vietnam Limited,3,Hồ Chí Minh,$800.00-1800.00,"Footwear, Quality Control, Chinese, Inspection, Quality Assurance & Control, Quality Assurance & Control",Vietnamworks
Infrastructure Engineer,software engineer,Any Level,Tổng Công Ty Bưu Điện Việt Nam - Vnpost,N/A,Hà Nội,$489.80-1102.04,"Python, Shell Script, Private Cloud, OSI, Cloud Computing",Vietnamworks
Chuyên Viên Kiểm Thử Phần Mềm (Có Thể Nhận Việc Sau Tết),QA Engineer,Intermediate,Công Ty Chứng Khoán Yuanta Việt Nam,3,Hồ Chí Minh,$489.80-1224.49,"Viết Test Case, Kiểm Thử Phần Mềm, Chứng khoán, Test, API Testing",Vietnamworks
IT Business Analyst,Business Analyst,Junior,A.p. Moller-Maersk,1,Hồ Chí Minh,Thương lượng,"WMS, MSSQL, Power BI, Communication skills",Vietnamworks
IT Associate Manager,IT professional,Lead/Expert,Perfetti Van Melle (Viet Nam) Limited,5,Hồ Chí Minh,Thương lượng,"Analytical Skills, Communication Skills, Implementing Business Software, Project Management, SAP ERP",Vietnamworks
Senior Business Intelligence,Data Analyst,Senior,Navigos Search's Client,4,Hà Nội,$2000.00-2500.00,"Business Intelligence, Data Analysis, Machine Learning, Team Management",Vietnamworks
"Nhân Viên Bảo Hành (Lĩnh Vực CCTV, Camera, It,...)",IT professional,Junior,Công Ty Cổ Phần Nhà An Toàn,1,"Hà Nội, Hồ Chí Minh",$489.80-734.69,"CCNA, CCNP, MCSA",Vietnamworks
Chuyên Viên Phân Tích Nghiệp Vụ (Senior Business Analyst) - Upto 35M,Business Analyst,Senior,Công Ty Cổ Phần 1Office,3,Hà Nội,$1428.57,"Phân tích nghiệp vụ, ERP, business analyst, Team Leader, Team Leader, Team Leader, Team Leader, Team Leader",Vietnamworks
Chuyên Viên Kiểm Thử Phần Mềm,Embedded Systems Engineer,Senior,Trung Tâm Dịch Vụ Dữ Liệu Và Trí Tuệ Nhân Tạo Viettel (Viettel AI),5,Hà Nội,$830.00-1700.00,"Kiểm Thử, An Toàn Thông Tin, Nghiệm Thu, Công nghệ thông tin, Hệ Thống Thông Tin",Vietnamworks
Business Analyst (BA),Business Analyst,Junior,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,2,Hồ Chí Minh,Thương lượng,"Business Analysis, Fashion Trend, Figma, Microsoft Visio, MS Office",Vietnamworks
IT Staff Software Developer (On Board After Tet),Software Developer,Any Level,"Proterial Vietnam Co., Ltd.",N/A,Hải Dương,Thương lượng,"Công Nghệ Thông Tin, C#, Android, SQL, ASP.NET",Vietnamworks
"Japanese Business Operations Staff (in HCM, Hanoi, Da Nang)",Data Scientist,Junior,Hitachi Digital Services,2,Hồ Chí Minh,Thương lượng,"Japanese, Document, System Operations, English",Vietnamworks
"Chuyên Viên Quản Trị Hệ Thống, Quản Trị Mạng",Database Administrator,Intermediate,Công Ty Cổ Phần Chứng Khoán Việt Thành,3,Hồ Chí Minh,Thương lượng,"Database Oracle, Network Management, Server System Management, System Administration, VMware",Vietnamworks
CRM System and Infrastructure Manager,Data Engineer,Lead/Expert,Abbott,5,Hồ Chí Minh,Thương lượng,"Systems Integration, CRM Development, Infrastructure, IT Infrastructure Management, SQL",Vietnamworks
Trưởng Phòng Kỹ Thuật,Backend Developer,Any Level,OPTIMA ROBOTICS COMPANY,N/A,N/A,Thương lượng,"Arduino, Arduino, Arduino, C#, Python, Robot Control Programming, STM32, STM32",Vietnamworks
IT Technical Support,IT Support,Intermediate,Carl Zeiss Vietnam Company Limited,4,"Hà Nội, Hồ Chí Minh",Thương lượng,"Customer Support, Technical Assistance, Asset Management, ITSM, System Monitoring",Vietnamworks
NV Phụ Trách An Ninh Mạng và An Toàn Dữ Liệu,Network Engineer,Junior,Công Ty Cổ Phần Đầu Tư Phát Triển Giáo Dục Quốc Tế Hoàng Gia,2,Hồ Chí Minh,$600.00-800.00,"Cisco Firewall Security, CentOS, An Ninh Mạng, Hệ Thống Bảo Mật, Bảo Mật Hệ Thống",Vietnamworks
Assistant Manager cum Team Lead - IT Department (IT Security & Risk Management Team),Tech Lead,Lead/Expert,"Mizuho Bank, Ltd.",8,Hà Nội,Thương lượng,"Communication, Cybersecurity, IT Risk Management, IT Security, Leadership",Vietnamworks
Mid-Level Software Developer (Python),Software Developer,Intermediate,Celltron,2,Hồ Chí Minh,$1000.00,"Python, Ai/Ml Tools, API Development, Matplotlib",Vietnamworks
Chuyên Viên Vận Hành Open Banking & Dịch Vụ Kết Nối - Khối CNTT,Business Analyst,Junior,Ngân hàng Lộc Phát Việt Nam LPBank,2,Hà Nội,Thương lượng,"Hệ Thống Oracle, Lập Trình SQL Server, Linux, Quản Trị Hệ Thống, Vận Hành Hệ Thống",Vietnamworks
Project Manager (IT Projects),Project Manager,Lead/Expert,SV Technologies JSC,2,Hà Nội,$1000.00-2000.00,"Quản Lý Dự Án Công Nghệ, Quản Trị Dự Án, Project Management, PMP, Business analysis",Vietnamworks
Fullstack Developer (Nodejs/reactjs/python),Full-stack Developer,Any Level,"AZPLAYS Co., LTD",N/A,Hồ Chí Minh,$1700.00-2100.00,"JavaScript, Python, NodeJS, ReactJS, Communication",Vietnamworks
[Hồ Chí Minh] System Administrator (big Digital Transformation project) - open to onboard after Tet,System Administrator,Intermediate,Navigos Search's Client,3,Hà Nội,$1000.00-1400.00,"MCSA, MCSE, Quản Trị Hệ Thống, Quản Trị Hệ Thống Mạng, VMware",Vietnamworks
Web Developer (Tiếng Nhật N1~N4),Software Developer,Any Level,Công Ty TNHH Gmo-Z.com Financial System VN,N/A,Hà Nội,$1000.00-3000.00,"React, Website Development, Node.js, Tiếng Nhật N4, Unit Testing",Vietnamworks
Kỹ Sư Network,Data Scientist,Junior,Công Ty Cổ Phần Netnam,1,Hà Nội,$489.80-816.33,"Quản Trị Mạng, Network, Quản Trị Hạ Tầng Cisco, Chăm Sóc Khách Hàng, An Toàn Thông Tin",Vietnamworks
On Job Training (Embedded Engineer),software engineer,Any Level,"Toshiba Software Development (Vietnam) CO., LTD",N/A,Hà Nội,$134.69-306.12,"Embedded Systems, Linux, MATLAB, Teamwork, Tự Động Hóa",Vietnamworks
Data and Business Intelligence Analyst,Business Intelligence Analyst,Intermediate,Schneider Electric Vietnam Limited,3,Hồ Chí Minh,Thương lượng,"Data analysis, Business analysis",Vietnamworks
Senior Software Tester – Securities IT,QA Engineer,Senior,Public Bank Securities Vietnam Company Limited (PBSV),3,N/A,Thương lượng,"Communication skills, Computer Science, Finance, Software Testing, Test Planning",Vietnamworks
Russian speaking Network Provisioning,Data Scientist,Any Level,Công ty TNHH Servers.com VN,N/A,N/A,Thương lượng,"Network Technology, Pc Background, Russian Language, English Speaking, Customer Focus",Vietnamworks
Business Analyst Fresher (Dành Cho Sinh Viên Mới Tốt Nghiệp),Business Analyst,Fresher,NashTech,N/A,Hồ Chí Minh,Thương lượng,"Business Analysis, Data Analysis, Business Intelligence, Communication, English Language Proficiency",Vietnamworks
Head of Digital Product,IT professional,Lead/Expert,Công Ty Cổ Phần Thương Mại Và Dịch Vụ Fgf,5,Hà Nội,$4000.00-6000.00,"Product Management, Customer Experiences, Agile, Product Analyst, Digital Strategy",Vietnamworks
Software Engineering Manager (Java/springboot),Software Engineer,Lead/Expert,Navigos Search's Client,7,Hà Nội,$3500.00-4000.00,"API RESTful, English Language Proficiency, Java, Software Development, Team Management",Vietnamworks
Senior Backend Developer,Backend Developer,Senior,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,N/A,Hồ Chí Minh,Thương lượng,"Data Structure, Back End Developer, OOP (Object Oriented Programming), Java, NodeJS",Vietnamworks
Engineering Manager,software engineer,Lead/Expert,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,N/A,Hà Nội,Thương lượng,"Cloud Technologies, Project Management, Software Development, Agile, Product Development",Vietnamworks
Process Quality Assurance - Lương Thưởng Hấp Dẫn,QA Engineer,Intermediate,Công Ty Cổ Phần Tư Vấn Công Nghệ Ngs (Ngsc),3,Hà Nội,$1500.00,"Công Nghệ Thông Tin, Đánh Giá Chất Lượng, QA, Agile Scrum, Tiếng Anh",Vietnamworks
Technical Analyst,IT professional,Junior,Công Ty Cổ Phần Gemadept,1,Hồ Chí Minh,Thương lượng,"IT Management, Công nghệ thông tin, Triển Khai Ứng Dụng, Phân tích kỹ thuật",Vietnamworks
Phó Trưởng Khoa Công Nghệ Thông Tin / Vice Dean of IT Program,IT professional,Intermediate,Keiser University (Vietnam Center - Kuv),3,Hồ Chí Minh,$1500.00,"Tiếng Anh Thành Thạo, Công nghệ thông tin, Quản Lý Giáo Dục",Vietnamworks
Test Consultant (Automation),QA Engineer,Lead/Expert,Endava Việt Nam,10,Hồ Chí Minh,Thương lượng,"Java, SDLC, REST API, Automation Testing, API Testing",Vietnamworks
Project Manager,Project Manager,Lead/Expert,Techcombank,8,Hà Nội,$1000.00-2500.00,"Program Management, Waterfall, Product Development, Banking, Agile",Vietnamworks
Information & Communication Technology (ICT) Executive,IT professional,Intermediate,FUJIFILM Business Innovation Vietnam,3,Hồ Chí Minh,Thương lượng,"IT Security, MS SQL, Computer Network, Windows System Administration, Team Work",Vietnamworks
IT Security Engineer Cybersecurity & Networks,Security Engineer,Any Level,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,N/A,Hồ Chí Minh,$600.00-2000.00,"Network Security, System Security Management, Application Security Assessment, CEH, CISSP",Vietnamworks
Fortran Developer (ASAP),Software Developer,Any Level,Hitachi Digital Services,N/A,Hồ Chí Minh,$1500.00-3500.00,"Công nghệ thông tin, Fortran, IT Phần Mềm, Software Programming, Coding Experience",Vietnamworks
C# Software Engineer,Software Engineer,Intermediate,Navigos Search's Client,3,"Hà Nội, Hồ Chí Minh",$1500.00-2000.00,"C#, WPF, Revit, OOP, English",Vietnamworks
"IT Helpdesk - IT Department, Head Office",IT Support,Lead/Expert,Public Bank Vietnam Ltd,N/A,Hà Nội,$550.00-1000.00,"Helpdesk, IT Helpdesk, Microsoft Windows, Digital Banking, Technical Support",Vietnamworks
IT Helpdesk,IT Support,Junior,Chi Nhánh Olam Global Agri Việt Nam Tại Đồng Tháp,1,Hồ Chí Minh,$330.00-400.00,"Công Nghệ Thông Tin, IT System Administration, IT Operations, IT Helpdesk, IT",Vietnamworks
Data Analyst & Reporting Executive,Data Analyst,Junior,Shinhan Vietnam Finance Company Limited,1,Hồ Chí Minh,Thương lượng,"Data analysis, Reporting, Excel VBA, SQL, Ms Power Bi, Power Query",Vietnamworks
Senior Software Engineer (Generative AI),Software Engineer,Senior,Navigos Group,5,"Hồ Chí Minh, Hà Nội",$1200.00-2500.00,"Collaborative Design, Machine Learning, Python Programming, Generative Ai Proficiency, Technical Expertise In Data-Driven Systems",Vietnamworks
Process RD & Optimization Specialist (AI),Data Scientist,Junior,"Vietnam Intersnack Cashew Co., Ltd",2,Hồ Chí Minh,Thương lượng,"Data Analysis, Data Modeling, Microsoft Power Platform, MS SQL, Python (Tensorflow, Pytorch, Or Scikit-Learn)",Vietnamworks
Moderation Quality Analyst,IT professional,Junior,Gear Inc.,1,Hà Nội,Thương lượng,"Analytical Skills, English Communication, Content Moderation, Content Moderation, Content Moderation, Content Moderation, QA, QA/ QC",Vietnamworks
Quản Trị Viên Quản Lý Microsoft 365 (Microsoft 365 Administrator),Data Scientist,Junior,Hệ Thống Giáo Dục Archimedes School,1,Hà Nội,Thương lượng,"IT, AI, CompTIA, Hệ Thống Mạng, CCNA, AI, IT",Vietnamworks
Senior Software Engineer/ Digital Transformation Specialist (Kỹ Sư Phần Mềm Cao Cấp/chuyên Gia Chuyển Đổi Số),Software Engineer,Senior,Công Ty TNHH Một Thành Viên Đầu Tư Và Thương Mại The Garden,6,Hà Nội,Thương lượng,"Software Development, Project Management, Database Development, Ecommerce Background, Effective Communication",Vietnamworks
WordPress Developer,Software Developer,Intermediate,AMERICAN DREAM HOME GROUP LLC,3,Hồ Chí Minh,$1000.00-2000.00,"HTML5, Wordpress Development, CSS, NextJs, Performance Enhancement",Vietnamworks
Automotive Test Engineer (Manual),software engineer,Junior,LG Electronics Development Vietnam Company Limited,1,Hà Nội,$600.00-1500.00,"Software Programming, Software Testing, Automation Test Script, Automotive Engineering, Automotive",Vietnamworks
Senior Global Service Desk,Business Analyst,Senior,SPS Vietnam S Ltd.,2,Hồ Chí Minh,$700.00-1200.00,"Microsoft Office 365, Azure Administration, ITIL, Network Systems, Service Desk",Vietnamworks
Nhân Viên Công Nghệ Thông Tin,Data Analyst,Junior,Công Ty Cổ Phần Dược Phẩm Vĩnh Phúc,2,Hồ Chí Minh,Thương lượng,"Giải Quyết Vấn Đề, Giao Tiếp, Hệ Thống SAP, Sử Dụng Excel",Vietnamworks
CVCC Phân Tích Kinh Doanh (Quản Trị Dữ Liệu Thu Hồi Nợ) – Rcc,Data Engineer,Intermediate,VPBank - Https://tuyendung.vpbank.com.vn/,3,Hà Nội,Thương lượng,"Databases, SQL, Phân Tích Kinh Doanh, Quản Lý Cở Sở Dữ Liệu, Quản Lý Thu Hồi Nợ",Vietnamworks
Nhân Viên IT (Staff/ Senior Staff) - Lương Thưởng Hấp Dẫn,IT professional,Senior,Hanwha Vision Viet Nam Company Limited (Tên Cũ Là Hanwhatechwin Security Vietnam),2,Bắc Ninh,$400.00-550.00,"IT Phần Mềm, IT, Server System Management, Cấu Hình Tường Lửa",Vietnamworks
"IOS Developer (Junior, HCM)",Mobile Developer,Junior,FPT Telecom,1,Hà Nội,Thương lượng,"iOS Development, Material Design, Objective C, Swift, Swift, Web Service",Vietnamworks
IT Security Manager,IT professional,Lead/Expert,Chi Nhánh Công Ty TNHH KPMG,N/A,Hồ Chí Minh,Thương lượng,"IT Security, IT Risk Management, IT Administration",Vietnamworks
Giám Đốc Kỹ Thuật (CTO),Data Scientist,Senior,Công Ty TNHH Sorimachi Việt Nam,5,Hồ Chí Minh,Thương lượng,"AI, Big Data, IoT, Quản Lý Dự Án, AI, Technical Support",Vietnamworks
Giám Đốc Vận Hành,Data Scientist,Senior,CÔNG TY TNHH MOVE SYNC,5,Hồ Chí Minh,$4081.63,"Quản Lý Vận Hành, Marketing Development, Lãnh Đạo, Phân Tích Chiến Lược, Social Media",Vietnamworks
Kỹ sư Thiết Kế Điện/ Điện tử & Phát triển hệ sinh thái số,Data Scientist,Junior,Công Ty Điện Lạnh Hòa Phát,2,Hà Nội,$816.33-1020.41,"Ai, Cloud, IoT, Phát Triển Sản Phẩm, Thiết Kế Kỹ Thuật",Vietnamworks
Head of IT Security and Governance Department,IT professional,Lead/Expert,Shinhan Vietnam Finance Company Limited,10,Hồ Chí Minh,Thương lượng,"IT Risk Management, IT Security, IT Governance, System Security Management, ISO",Vietnamworks
CRM Team Leader,Tech Lead,Lead/Expert,Vietnam Australia International School (Vas),2,Hồ Chí Minh,Thương lượng,"Data analysis, Engineering Application Softwares, CRM Systems, SQL Database, Salesforce CRM",Vietnamworks
Senior Quality Inspector,IT professional,Senior,PetSafe Brands,3,Hồ Chí Minh,$800.00-1200.00,"Chinese Speaking, English Reading, Inspection Gauges/Tools, QC Report, Quality Inspection",Vietnamworks
[Fresher - HCM] Lập Trình Viên IOS,Mobile Developer,Fresher,Công Ty CP Giải Pháp Thanh Toán Việt Nam (VNPAY),1,Hà Nội,Thương lượng,"Giao Tiếp Chủ Động, Git Source Control, Lập Trình iOS, Swift, Swift",Vietnamworks
Embedded Test Lead (Joining Bonus),Embedded Systems Engineer,Lead/Expert,Bosch Global Software Technologies Company Limited,5,Hồ Chí Minh,Thương lượng,"Analytical skills, English communication, Embedded Test Lead, Automation system test, SW process test",Vietnamworks
Kỹ Sư Hệ Thống (System Engineer),Systems Engineer,Any Level,Công Ty TNHH Canon Việt Nam,N/A,Hà Nội,$500.00-1000.00,"Domain Server, Linux, VMware, Zabbix, Ansible",Vietnamworks
SAP Senior Consultant - SAP Controlling (CO) & Project System (PS),SAP Consultant,Senior,Deloitte Consulting SEA,N/A,Hồ Chí Minh,Thương lượng,"SAP, Consulting, Information Technology, SAP Consulting, Manufacturing Operations",Vietnamworks
IT Service Delivery Manager,IT professional,Lead/Expert,Bosch Global Software Technologies Company Limited,10,Hồ Chí Minh,Thương lượng,"Customer Engagement, English Communication, IT Project Management, Leadership Skills, Team Management",Vietnamworks
IT Business Analyst (Global),Business Analyst,Junior,Wilmar CLV,1,Hồ Chí Minh,$612.24-1020.41,"business analyst, Database Technology, English, IT Knowledge, Product Management",Vietnamworks
Planning Manager (Budget Management & Financial Controller)​/ Quản Lý Kế Hoạch (Mảng Ngân Sách & Kiểm Soát Tài Chính),Data Analyst,Lead/Expert,Lotte Center Hanoi,3,N/A,Thương lượng,"Business Planning, Corporate Finance, Financial Analysis, Vietnamese Communication, Power BI",Vietnamworks
Governance-Risk-Compliance Consultant,Data Scientist,Any Level,FPT IS,N/A,Hà Nội,Thương lượng,"ISO 27001, PCI DSS, NIST",Vietnamworks
Lead Full Stack Developer (Technical Lead),Full-stack Developer,Lead/Expert,CÔNG TY TNHH CIGRO VIETNAM,3,Hồ Chí Minh,Thương lượng,"Agile Methodologies, Database Software, English Communication, Full Stack Development, HTML/CSS",Vietnamworks
Chuyên Viên Đảm Bảo Chất Lượng (Process Quality Assurance) Upto 30M,QA Engineer,Intermediate,Công Ty Cổ Phần 1Office,3,Hà Nội,$1224.49,"ISO Audit, Scrum Master, Root Cause Analysis, QA Software, SaaS",Vietnamworks
IT Specialist,IT professional,Junior,ITECHWX COMPANY LIMITED,1,Hồ Chí Minh,$653.06-938.78,"Technical Support, Operations Administration, Helpdesk, IT Helpdesk",Vietnamworks
Product Operations Specialist - Agi,Data Scientist,Junior,Trusting Social,2,Hồ Chí Minh,Thương lượng,"Product Operation, Product Development, Project management skills, Quality Process Improvement",Vietnamworks
IT Infrastructure Supervisor,IT professional,Intermediate,Toyota Financial Services Vietnam,3,Hồ Chí Minh,Thương lượng,"Palo Alto, DLP, PAM solution, Microsoft Solution, Commvault Backup",Vietnamworks
Giám Đốc Công Nghệ Dự Án Blockchain (CTO),Blockchain Developer,Senior,Tập Đoàn Apec (Apec Group),5,Hà Nội,$2000.00-5000.00,"Công nghệ thông tin, Fintech, Cryptocurrency, Blockchain Technologies, Blockchain Payment",Vietnamworks
Senior IT System Engineer (Korean Native),Systems Engineer,Senior,Công Ty TNHH CJ Olivenetworks VINA,1,Hồ Chí Minh,Thương lượng,"Database Software, Desktop Virtualization, English Communication, IT System Administration, Networking Knowledge",Vietnamworks
Senior Regional IT Manager,IT professional,Senior/Lead/Expert,Navigos Search,15,"Hà Nội, Hồ Chí Minh",$3700.00-4000.00,"IT Management, Project Management, Technology Integration, Network Protocols, Cyber security",Vietnamworks
IT Senior Server Administration,IT professional,Senior,Dai-Ichi Life Vietnam,5,Hồ Chí Minh,Thương lượng,"Server Administration, Oracle SQL, MSCE, Windows System Administration",Vietnamworks
Tuyển Kỹ Sư Quản Trị Dịch Vụ Làm Việc Tại Vnpt Idc,Data Scientist,Junior,Trung tâm Hạ tầng IDC - Chi nhánh Công ty Công nghệ Thông tin VNPT,1,Hồ Chí Minh,$612.24-816.33,"Quản Trị Hệ Thống, Tin Học Văn Phòng, Giao Tiếp Tiếng Anh, MCSA, Quản Trị Dịch Vụ",Vietnamworks
Quality Assurance Engineer (QA),QA Engineer,Intermediate,Công ty TNHH Công Nghệ Điện Tử - Nghe Nhìn BOE Việt Nam,3,Đồng Nai,$800.00-2000.00,"IATF 16949:2016, ISO 14001, ISO 9001, Quality Assurance, Fluent In Chinese Or English",Vietnamworks
Business Analyst,Business Analyst,Junior,CÔNG TY CỔ PHẦN CÔNG NGHỆ IHOUZZ,2,N/A,Thương lượng,"CRM System, Figma, Jira, Product Design, Product Management",Vietnamworks
Lập Trình Viên (Salary Upto 1500$),Backend Developer,Junior,Taixin Printing Vina,1,Bắc Ninh,$900.00-1500.00,"MS SQL, C#, ERP, Phát Triển Phần Mềm, Thiết Kế Phần Mềm",Vietnamworks
Head of IT Security,IT professional,Lead/Expert,Công Ty Tài Chính TNHH Ngân Hàng TMCP Sài Gòn - Hà Nội (Shbfinance),N/A,Hà Nội,Thương lượng,"Security Information, Security System Management, IT Security, IT Risk Management, Cyber Security",Vietnamworks
Sales Manager,security engineer,Lead/Expert,Vietnam Htech Resources Company Limited,1,Hồ Chí Minh,$1000.00-1500.00,"Negotiation, Sales & Business Development, Sales & Business Development, Sales & Business Development, Cybersecurity, Cybersecurity Expertise, IT Presale",Vietnamworks
Chuyên Viên IT - Cơ Hội Lên Trưởng Nhóm IT ( Tiếng Anh Giao Tiếp / Xe Đưa Đón Hà Nội Bắc Ninh),IT professional,Junior,Hanacans JSC,1,Bắc Ninh,$800.00-1000.00,"Quản Trị Hệ Thống CNTT, Quản Trị Mạng, Cài Đặt Hệ Thống, Công Nghệ Thông Tin, Bảo Trì Hệ Thống",Vietnamworks
Kỹ Sư Dịch Vụ Máy In Công Nghiệp,Data Scientist,Intermediate,Navigos Search,3,Hồ Chí Minh,$326.53-612.24,"Cài Đặt Phần Mềm, Kỹ năng giao tiếp, Kỹ năng giao tiếp, Quản Lý Phần Mềm, Quản Trị Khách Hàng, Tư Vấn Công Trình",Vietnamworks
Team Leader - Business Analysis,Tech Lead,Lead/Expert,Công Ty Cổ Phần Dịch Vụ Di Động Trực Tuyến (Ví MoMo),5,Hồ Chí Minh,Thương lượng,"Business Analysis, Data Analysis, Production Monitoring",Vietnamworks
Senior Business Intelligence Analyst,Business Intelligence Analyst,Senior,Công Ty TNHH Shopee,3,Hồ Chí Minh,Thương lượng,"Business Analysis, Data Analysis, Business Intelligence, SQL, Project Management",Vietnamworks
Chuyên Viên Vận Hành Máy Chủ & Nền Tảng - Khối CNTT,Data Scientist,Intermediate,Ngân hàng Lộc Phát Việt Nam LPBank,4,Hà Nội,Thương lượng,"Cấu Hình Lưu Trữ, Công Nghệ Phần Mềm, Công Nghệ Thông Tin, Quản Trị Máy Chủ, Vận Hành Máy Chủ",Vietnamworks
Nhân Viên IT,IT professional,Any Level,"INOUE Rubber Vietnam CO., LTD.",N/A,Hà Nội,Thương lượng,"IT Helpdesk, DNS, DHCP, Firewall, Routing",Vietnamworks
Giám Đốc Giải Pháp Thanh Toán Số,Data Scientist,Intermediate,Ngân Hàng Bản Việt - Bvbank,3,Hồ Chí Minh,Thương lượng,"Giám Sát, Phân Tích Da, Quản Lý Nhóm, Thuyết Trình, Tư Duy",Vietnamworks
[HCM] IT Application Coordinator Executive,IT professional,Intermediate,Công Ty TNHH Aeon Việt Nam,3,Hồ Chí Minh,Thương lượng,"Communication Skills, Project Procurement Management, Technical Support, Time Management, Policy Development",Vietnamworks
"Enterprise Architect, Senior Lead",IT professional,Senior/Lead/Expert,AIA Vietnam (Great Place To Work® Certified),5,Hồ Chí Minh,$2000.00-2500.00,"Cloud Computing, Enterprise Architecture, IT Solutions Delivery, NAS System, Problem-solving",Vietnamworks
Nhân Viên Quản Lý Chất Lượng,Data Scientist,Junior,Trung Tâm Dịch Vụ Dữ Liệu Và Trí Tuệ Nhân Tạo Viettel (Viettel AI),1,Hà Nội,$420.00-835.00,"Quality Assurance, Quản lý chất lượng, Đảm Bảo Chất Lượng, Cải tiến quy trình, QC",Vietnamworks
On Job Training for AI,Data Scientist,Any Level,"Toshiba Software Development (Vietnam) CO., LTD",N/A,Hà Nội,$134.69-408.16,"AI, C++, Linear Algebra, Python",Vietnamworks
Project Manager - Thu Nhập Lên Tới 50M,Project Manager,Lead/Expert,Công Ty Cổ Phần Giải Pháp Tự Động Hóa Kỹ Thuật Việt Nam,3,Hồ Chí Minh,$40.82-81.63,"Công Nghệ Thông Tin, Automation, Kỹ Thuật, Quản Lý Dự Án, MES",Vietnamworks
Machine Learning Engineer Expert - Hà Nội - EDA,software engineer,Lead/Expert,VPBank - Https://tuyendung.vpbank.com.vn/,6,Hà Nội,Thương lượng,"Data Science, Machine Learning, Big Data, SQL Server, Python",Vietnamworks
Chuyên Viên Quản Lý Ứng Dụng - Application Administrator - Khối Công Nghệ Thông Tin (HO24.365),Data Scientist,Junior,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,1,Hà Nội,Thương lượng,"Middleware, Oracle, Quản Lý Ứng Dụng, Unix, Cài Đặt Corebank T24",Vietnamworks
Chuyên Viên Kỹ Thuật Hạ Tầng Viễn Thông,Embedded Systems Engineer,Any Level,Netnam Corp.,N/A,Hồ Chí Minh,Thương lượng,"Hạ Tầng Kỹ Thuật, Quản Lý Dự Án, Viễn Thông, Autocad, Cáp Viễn Thông",Vietnamworks
QC Manager,QA Engineer,Lead/Expert,Công Ty TNHH Thu Phí Tự Động VETC,N/A,Hà Nội,Thương lượng,"Testing, Quality Assurance, QC, QA, Automation Testing",Vietnamworks
Kỹ Sư Phát Triển Hệ Thống - System Development Engineer,software engineer,Junior,Công Ty Cổ Phần Netnam,2,Hà Nội,$612.24-1224.49,"Network, An Ninh Mạng, Linux, Công nghệ thông tin, Giải Pháp Công Nghệ",Vietnamworks
Senior Business Analyst (Digital Lending/los) - Risk Strategy Department - Ho Chi Minh – RM,Business Analyst,Senior,VPBank - Https://tuyendung.vpbank.com.vn/,2,Hà Nội,Thương lượng,"Finance, Banking, Phân Tích Kinh Doanh, business analyst, Risk Analysis",Vietnamworks
"Chuyên Viên Cao Cấp Phát Triển Ứng Dụng (.Net, Java)",Backend Developer,Any Level,Ngân Hàng Thương Mại Cổ Phần Thịnh Vượng Và Phát Triển (PGBANK),N/A,Hà Nội,$500.00-1500.00,"Java, .Net, Full Stack Development",Vietnamworks
Embedded Software Engineer (Automotive),Software Engineer,Any Level,Hitachi Digital Services,N/A,Hồ Chí Minh,Thương lượng,"Embedded Software, Automotive, AUTOSAR, C/C++, MCU Programming",Vietnamworks
QA Game Tester,Game Developer,Any Level,"Nexon Networks Vina Co. Ltd,",N/A,Hồ Chí Minh,Thương lượng,"Game Testing, Quality Assurance, Manual Testing, English, Test Cases",Vietnamworks
Tập Sự Duy Trì Hệ Thống Quản Lý ATTT,Data Scientist,Any Level,Công Ty Cổ Phần Chứng Khoán MB,N/A,Hà Nội,Thương lượng,"An Toàn Thông Tin, An Toàn Thông Tin Mạng, ISO Quality, Đánh Giá Rủi Ro",Vietnamworks
Growth Analytics Manager,Data Analyst,Lead/Expert,Be Group Joint Stock Company,5,Hồ Chí Minh,Thương lượng,"Communication Skills, Conversion Rate Optimization, Data Analytics, Growth Hacking, Market Growth",Vietnamworks
Support Engineer,software engineer,Any Level,"Panasonic R&D Center Vietnam CO., LTD",N/A,Hồ Chí Minh,Thương lượng,"Technical Support, Computer Network, JavaScript, Windows, PostgreSQL",Vietnamworks
AI Video Enhancement Algorithm Engineer (Intern),software engineer,Intern/Entry-level,Puwell Cloud Tech Limited,N/A,Hồ Chí Minh,$122.45-204.08,"AI/ML, Video Engineering, Python Programming, C/C++ Programming, Teamwork",Vietnamworks
