Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform
"Chuyên viên Phân tích nghiệp vụ CNTT, Dự án Nguồn vốn",data scientist,Junior,1,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Thương lượng,"AI, Agile, Kanban",Careerviet
[H6] IT MANAGER (TRƯỞNG NHÓM IT),IT professional,Junior,2-3,BellSystem24-Việt Nam,Hồ Chí Minh,Thương lượng,,Careerviet
[C6] NHÂN VIÊN TƯ VẤN NHÀ MẠNG VIETTEL,N/A,Any Level,N/A,BellSystem24-Việt Nam,Hà Nội,$8.00,,Careerviet
Nhân viên quản lý chất lượng phần mềm QC,data engineer,Junior,1-2,Tổng Công ty Cổ phần Công trình Viettel,Hà Nội,$17.00,SQL,Careerviet
Senior PHP Engineer,software engineer,Senior,3-10,Công ty Fastboy Marketing (Công ty TNHH DV Lam Nguyễn),Hồ Chí Minh,$30.00,"PHP, Docker, Kubernetes, AWS, GraphQL, Agile",Careerviet
Nhân viên công nghệ thông tin,N/A,Junior,1-3,TEX VIETNAM CO. LTD,Long An,Thương lượng,,Careerviet
CVCC/Chuyên gia Vận hành dịch vụ Cloud - MSB - KCN - 3I088,DevOps engineer,Intermediate,3,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hà Nội,Thương lượng,"AWS, CI/CD, Ansible, Chef, Puppet, Agile, Scrum, Microservices, Serverless, Kafka",Careerviet
Nhân viên Kinh doanh phần mềm,SAP consultant,Junior,1-2,CÔNG TY CỔ PHẦN Z HOLDING,Hồ Chí Minh,$8.00,ERP,Careerviet
Nhân viên hỗ trợ khách hàng(Ca đêm),N/A,Intermediate,1-5,Công ty Fastboy Marketing (Công ty TNHH DV Lam Nguyễn),Hồ Chí Minh,$8.00,,Careerviet
Nhân viên thiết kế đồ họa (ưu tiên biết thiết kế UI/UX),UX/UI designer,Intermediate,3-5,Công ty Fastboy Marketing (Công ty TNHH DV Lam Nguyễn),Hồ Chí Minh,$14.00,Figma,Careerviet
Trưởng phòng Kinh doanh Công nghệ,SAP consultant,Intermediate,2-5,CÔNG TY CỔ PHẦN Z HOLDING,Hồ Chí Minh,$15.00,ERP,Careerviet
HO - Khối Văn phòng - Chuyên viên Bộ phận Quan hệ công chúng,data analyst,Junior,2,Ngân hàng TMCP Lộc Phát Việt Nam (LPBank),Hà Nội,Thương lượng,Excel,Careerviet
Lập Trình Viên Game- Game Developers,game developer,Any Level,N/A,Koei Tecmo Software Vietnam,Hà Nội,Thương lượng,"Java, PHP",Careerviet
"Chuyên viên Phân tích nghiệp vụ CNTT, Dự án GL",SAP consultant,Junior,1,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Thương lượng,ERP,Careerviet
Chuyên Viên Data Analyst,data analyst,Junior,2-3,CÔNG TY CỔ PHẦN Z HOLDING,Hà Nội,$18.00,"Python, SQL, Power BI, R",Careerviet
Software QC/Tester (Chuyên Viên Kiểm Soát Chất Lượng Phần Mềm),QA engineer,Intermediate,2-5,CÔNG TY CỔ PHẦN KING FOOD MARKET,Hồ Chí Minh,$18.00,"SQL, MongoDB",Careerviet
Chuyên viên/Chuyên viên chính phân tích dữ liệu (BI analytics),data analyst,Intermediate,2-5,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Thương lượng,"Python, Power BI, Qlik",Careerviet
"Chuyên viên Phân tích nghiệp vụ CNTT, Dự án GL",SAP consultant,Junior,1,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Thương lượng,ERP,Careerviet
IT Helpdesk,IT support,Intermediate,2-4,Wanek Furniture,Bình Dương,Thương lượng,SQL,Careerviet
Kỹ thuật chuyên ngành Cơ khí và Xây dựng,N/A,Junior,2-3,Công Ty TNHH VietCAD,Hà Nội,$9.00,,Careerviet
"Chuyên viên Phân tích nghiệp vụ CNTT, Dự án Nguồn vốn",data scientist,Junior,1,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Thương lượng,"AI, Agile, Kanban",Careerviet
Senior AI Vision Engineer,software engineer,Senior,6-10,CÔNG TY TNHH CARTRACK VIETNAM,Hồ Chí Minh,$1000.00,"Python, Statistics, Analysis, Linux, Unix, Shell scripting, PyTorch, Deep Learning",Careerviet
Chuyên viên chính/Chuyên viên cao cấp quản trị dữ liệu (Data Governance),data engineer,Intermediate,2-5,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Thương lượng,"SQL, MySQL",Careerviet
"Trưởng phòng kinh doanh Phần Mềm, Website",IT professional,Intermediate,2-5,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ OMMANI,Hà Nội,$15.00,,Careerviet
Nhân viên kinh doanh phần mềm,data analyst,Any Level,N/A,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ OMMANI,Hồ Chí Minh,$8.00,"Excel, PC",Careerviet
IT STAFF,IT professional,Junior,2,DAEYOUNG ELECTRONICS VINA,Bà Rịa - Vũng Tàu,Thương lượng,Excel,Careerviet
Game Developer,game developer,Junior,2,CÔNG TY TNHH PHẦN MỀM TIẾP THỊ VIDEO QUỐC TẾ,Hồ Chí Minh,$15.00,Unity,Careerviet
Senior Full Stack Developer (C# & ReactJS),full stack developer,Senior,5-10,CÔNG TY TNHH CARTRACK VIETNAM,Hồ Chí Minh,$1000.00,"JavaScript, HTML, CSS, Analysis, Git, Linux, Agile",Careerviet
Chuyên viên cao cấp Kiểm soát tuân thủ - Trung tâm an ninh thông tin,N/A,Intermediate,3-5,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Thương lượng,,Careerviet
Chuyên viên chính/cao cấp Khoa học dữ liệu - Trung tâm Quản trị dữ liệu - Khối Công nghệ Thông tin,data scientist,Senior,3-7,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Thương lượng,"Python, SAS, MATLAB, R",Careerviet
Senior Embedded Developer,software developer,Senior,5-10,CÔNG TY TNHH CARTRACK VIETNAM,Hồ Chí Minh,Thương lượng,"Linux, TCP/IP",Careerviet
Chuyên Viên IT Support (Helpdesk),IT support,Junior,2,Công Ty Cổ phần Tập đoàn Sơn Hà Xanh,Hà Nội,$12.00,Linux,Careerviet
IT Infrastructure & Architecture Administrator ( Microsoft 365 Administrator),IT professional,Intermediate,2-5,Công ty CP Giáo dục Quốc tế Việt Úc,Hồ Chí Minh,Thương lượng,Power BI,Careerviet
Partnership Executive,N/A,Intermediate,1-5,BSS Group,Hà Nội,$1000.00,,Careerviet
CHUYÊN VIÊN QUẢN TRỊ CƠ SỞ DỮ LIỆU (DATABASE),data engineer,Senior,5-7,Công Ty Cổ Phần Xây Dựng Central,Hồ Chí Minh,$20.00,SQL,Careerviet
Chuyên viên cao cấp Dữ liệu kế toán,data analyst,Junior,1-3,CÔNG TY CỔ PHẦN KINH DOANH F88,Hà Nội,$20.00,"SQL, Power BI, Excel, ERP",Careerviet
Website Manager,IT professional,Intermediate,1-5,BSS Group,Hà Nội,$500.00,"Analysis, SEO",Careerviet
Nhân viên hỗ trợ khách hàng,N/A,Intermediate,1-5,Công ty Fastboy Marketing (Công ty TNHH DV Lam Nguyễn),Hồ Chí Minh,$8.00,,Careerviet
Head of Machine Learning Engineer,software engineer,Senior,7-9,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Thương lượng,"Python, SQL, Excel, Data science, Statistics, Hadoop, Spark, Big Data, Machine Learning, R",Careerviet
[C6] TỔNG ĐÀI VIÊN CHĂM SÓC KHÁCH HÀNG TP BANK,N/A,Any Level,N/A,BellSystem24-Việt Nam,Hà Nội,$65.00,,Careerviet
Business Development Executive,system administrator,Intermediate,1-5,BSS Group,Hà Nội,$20.00,Networking,Careerviet
110142 - Customer Support (for German Customers) - Gaming,game developer,Junior,1,"RGF HR Agent Vietnam Co., LTD",Hồ Chí Minh,$11.00,,Careerviet
"Chuyên Viên Thẩm Định Dự án Mảng Công Nghệ, IT",IT professional,Any Level,N/A,Tổng công ty Bưu điện Việt Nam,Hà Nội,$15.00,,Careerviet
Nhân viên SEO Marketing _ Thu nhập 12 - 15 triệu,data scientist,Junior,1-3,CÔNG TY CỔ PHẦN CÔNG NGHIỆP WELDCOM,Hà Nội,$12.00,"AI, SEO, WordPress",Careerviet
Giảng viên Dạy Kiểm thử phần mềm (Manual/ Automation),N/A,Intermediate,2-5,Chương trình Học viện Công nghệ BKACAD,Hà Nội,$25.00,,Careerviet
110141 - Customer Support (for Spanish Customers) - Gaming,game developer,Junior,1,"RGF HR Agent Vietnam Co., LTD",Hồ Chí Minh,$11.00,,Careerviet
Giảng viên bộ môn Business Analyst (BA),business analyst,Intermediate,2-5,Chương trình Học viện Công nghệ BKACAD,Hà Nội,$25.00,JIRA,Careerviet
Senior/Expert Data Engineer,data engineer,Intermediate,3,CÔNG TY CỔ PHẦN KINH DOANH F88,Hà Nội,$25.00,"Python, Java, Data science, AWS, Azure, PostgreSQL, MySQL, Bash, Spark, ETL, Airflow, Kafka",Careerviet
Chuyên viên cao cấp phân tích nghiệp vụ (BA),N/A,Junior,1-2,Công ty Cổ phần Tập đoàn Thành Công,Hà Nội,Thương lượng,,Careerviet
Senior Frontend Developer,frontend developer,Intermediate,3,CÔNG TY CỔ PHẦN KINH DOANH F88,Hà Nội,$25.00,"JavaScript, HTML, CSS, TypeScript, Git, Agile, Scrum, UI/UX",Careerviet
Business Development,system administrator,Intermediate,3,CÔNG TY CỔ PHẦN PERMATE GLOBAL,Đà Nẵng,$15.00,Networking,Careerviet
Global Workforce Planning Specialist,data analyst,Senior,3-7,SPS Vietnam,Hồ Chí Minh,Thương lượng,Power BI,Careerviet
Chuyên viên cao cấp Kiểm soát an ninh thông tin và tuân thủ,N/A,Intermediate,3-5,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Thương lượng,,Careerviet
Chuyên viên cao cấp Vận hành dịch vụ CNTT - Hà Nội - TA137,DevOps engineer,Intermediate,3-6,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Thương lượng,"Java, SQL, Docker, Kubernetes, AWS, CI/CD, Terraform, Ansible, Puppet, Linux, Microservices",Careerviet
Senior System Administration,system administrator,Intermediate,1-5,NETNAM CORP.,Hồ Chí Minh,Thương lượng,"Python, Docker, Git, Bash, VMware, Hyper-V, Nginx, Apache",Careerviet
Nhân Viên Quản Trị Nhập Liệu (Data Admin),data engineer,Junior,1-3,Công Ty CP Chứng Khoán VNDIRECT,Hà Nội,Thương lượng,SQL,Careerviet
Sales Manager/ Business Development Manager,N/A,Senior,7,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,Hồ Chí Minh,Thương lượng,,Careerviet
Chuyên viên cao cấp Giám sát An ninh (SOC Tier 2),system administrator,Intermediate,3-5,Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Thương lượng,Linux,Careerviet
CG Thiết kế hệ thống CNTT (SA) - HN/HCM - TA137,embedded systems engineer,Senior,4-6,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà NộiHồ Chí Minh,Thương lượng,Analysis,Careerviet
Head of AI Center,data scientist,Senior,7-10,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Thương lượng,"Data science, Statistics, Big Data, Machine Learning",Careerviet
Unity Dev,IT professional,Junior,2-3,CÔNG TY TNHH PHẦN MỀM TIẾP THỊ VIDEO QUỐC TẾ,Hồ Chí Minh,$15.00,Unity,Careerviet
Data Platform Engineer - Khối Dữ liệu (HO24.186),software engineer,Junior,1,Ngân Hàng TMCP Quân Đội,Hà Nội,Thương lượng,"Python, Java, AWS, Azure, GCP, Spark, Big Data, AI",Careerviet
Tester,QA engineer,Junior,2-3,CÔNG TY TNHH INFOPLUS,Hà Nội,Thương lượng,"Agile, ERP",Careerviet
Software Product Executive (CRM system),IT professional,Intermediate,2-4,Wall Street English,Hồ Chí Minh,Thương lượng,"SQL, Analysis",Careerviet
Chuyên viên Phân tích dữ liệu (Khối QTRR),data scientist,Intermediate,3,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Thương lượng,"Python, SQL, Big Data, Machine Learning, Deep Learning, AI",Careerviet
Chuyên viên Quản lý Hành chính Công nghệ (IT Admin),IT professional,Junior,1-3,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI  (SHBFinance),Hà Nội,Thương lượng,,Careerviet
[G2] Nhân Viên Chăm Sóc Khách Hàng - Tống Đài 198 (Không YC kinh nghiệm ),N/A,Any Level,N/A,BellSystem24-Việt Nam,Hồ Chí Minh,Thương lượng,,Careerviet
Chăm Sóc Khách Hàng - Thị trường Mỹ - Tổng thu nhập 2x trở lên,N/A,Any Level,N/A,Công ty Fastboy Marketing (Công ty TNHH DV Lam Nguyễn),Hồ Chí Minh,Thương lượng,,Careerviet
Nhân Viên Hỗ Trợ Khách Hàng(Ca Đêm),N/A,Any Level,N/A,Công ty Fastboy Marketing (Công ty TNHH DV Lam Nguyễn),Hồ Chí Minh,$8.00,,Careerviet
Kỹ sư phần mềm Developer React Mobile (Ưu tiên biết Odoo),mobile developer,Intermediate,4,Công ty cổ phần Anvy,Hà Nội,$20.00,"Python, JavaScript, HTML, CSS, React, Odoo, MongoDB, PostgreSQL, MySQL, Git, Linux, Agile, Scrum",Careerviet
Nhân viên thiết kế đồ họa (ưu tiên biết thiết kế UI/UX),UX/UI designer,Intermediate,3-5,Công ty Fastboy Marketing (Công ty TNHH DV Lam Nguyễn),Hồ Chí Minh,$14.00,Figma,Careerviet
Chuyên viên cao cấp Phân tích dữ liệu rủi ro,data scientist,Junior,2,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Thương lượng,"SQL, Tableau, Power BI, Excel, Big Data, Machine Learning, Deep Learning, AI",Careerviet
nhân viên lập trình,data engineer,Junior,1-3,"Dongjin Global Co., Ltd",Bà Rịa - Vũng Tàu,$15.00,SQL,Careerviet
Kỹ Sư Phần Mềm Developer Odoo (Ưu tiên biết React),software developer,Intermediate,4,Công ty cổ phần Anvy,Hà Nội,$20.00,"Python, JavaScript, React, Odoo, MongoDB, PostgreSQL, MySQL, Git, Linux, Agile, Scrum",Careerviet
