Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Job URL,Source Platform
IT Business Development Intern,,Thực tập sinh,Không yêu cầu kinh nghiệm,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALADIN,Hà Nội,1 - 3 triệu,N/A,https://www.topcv.vn/viec-lam/it-business-development-intern/1315215.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
.NET Principal Software Engineer,,Nhân viên,Trên 5 năm,CÔNG TY TNHH AMARIS VIỆT NAM,Hồ Chí Minh,Thoả thuận,"ASP.NET, C#, SQL Server, Restful, Entity Framework, .net Core .net, Entity Framework Core",https://www.topcv.vn/viec-lam/net-principal-software-engineer/1565501.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Middle Tester,,Nhân viên,Không yêu cầu kinh nghiệm,Công ty Cổ phần Công nghệ Phần mềm Tinh Vân,Hồ Chí Minh,10 - 16 triệu,"Software Testing Methodologies (agile, Waterfall), Test Cases Design, Test Execution, Defect Reporting, Test Plan Creation",https://www.topcv.vn/viec-lam/middle-tester/1566986.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Nhân Viên Hỗ Trợ IT - Support Staff (Partime),,Nhân viên,Không yêu cầu kinh nghiệm,Công ty TNHH GIT Academy Việt Nam,Hồ Chí Minh,Thoả thuận,N/A,https://www.topcv.vn/viec-lam/nhan-vien-ho-tro-it-support-staff-partime/1433280.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Thực Tập Sinh Telesale - Định Biên Lên Chính Thức,,Thực tập sinh,Không yêu cầu kinh nghiệm,Công ty TNHH Thương mại và Dịch vụ TSG,Hà Nội,4 - 5 triệu,"Kỹ năng đàm phán, Kỹ năng Thuyết phục, Giao tiếp tốt, Khả Năng Làm Việc Độc Lập, Khả Năng Làm Việc Nhóm",https://www.topcv.vn/viec-lam/thuc-tap-sinh-telesale-dinh-bien-len-chinh-thuc/1566649.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Frontend Developer (Freelancer),,Nhân viên,1 năm,CÔNG TY CỔ PHẦN TƯ VẤN MCI VIỆT NAM,Hà Nội,Thoả thuận,N/A,https://www.topcv.vn/viec-lam/frontend-developer-freelancer/1567509.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Flutter Developer,,Nhân viên,1 năm,"TECHVIFY SOFTWARE., JSC",Hà Nội,12 - 27 triệu,"Lập Trình Hướng Đối Tượng, phân tích yêu cầu, Khả năng giải quyết vấn đề, Kiến Thức Về Cấu Trúc Dữ Liệu Và Thuật Toán, Suy Luận Logic",https://www.topcv.vn/viec-lam/flutter-developer/1567369.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Quality Assurance (With Prompt Engineering),,Nhân viên,1 năm,"TECHVIFY SOFTWARE., JSC",Hà Nội,12 - 27 triệu,"Kiểm thử phần mềm, Viết Testcase, Báo Cáo Lỗi, Xác Định Lỗi, Kiểm Thử Tự Động Hóa",https://www.topcv.vn/viec-lam/quality-assurance-with-prompt-engineering/1567390.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Junior Tester (QA/QC),,Nhân viên,1 năm,CÔNG TY TNHH R1 CONCEPTS VIETNAM,Hà Nội,Tới 18 triệu,N/A,https://www.topcv.vn/viec-lam/junior-tester-qa-qc/1562942.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Project Mananger (Quản Trị Dự Án),,Nhân viên,3 năm,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Hà Nội,Thoả thuận,N/A,https://www.topcv.vn/viec-lam/project-mananger-quan-tri-du-an/1456950.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
IT Intern,,Thực tập sinh,Dưới 1 năm,Công ty Cổ phần Truyền thông SEFA Media,Hà Nội,Thoả thuận,N/A,https://www.topcv.vn/viec-lam/it-intern/1469823.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
AI Engineer,,Nhân viên,2 năm,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Hà Nội,Thoả thuận,"Python, Machine Learning, Recommender System, Natural Language Processing, Deep learning",https://www.topcv.vn/viec-lam/ai-engineer/1538167.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Middle/Senior Automation Tester,,Nhân viên,2 năm,Công ty TNHH Dịch Vụ Sửa Chữa Điện Thoại Vui,Hồ Chí Minh,20 - 35 triệu,"SQL, Automation Test, Api Testing (rest, Soap), Test Automation Frameworks (selenium, Cypress, Appium, Etc.), Programming Languages (java, Python, C#, Javascript, Etc.), Test Case Design And Execution",https://www.topcv.vn/viec-lam/middle-senior-automation-tester/1532034.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
PHP Developer (Mid/Senior),,Nhân viên,3 năm,CÔNG TY CỔ PHẦN TCOM,Hà Nội,Tới 30 triệu,"CSS, HTML, Javascript, MySQL, PHP",https://www.topcv.vn/viec-lam/php-developer-mid-senior/1567268.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Chuyên Viên Kinh Doanh Phần Mềm Giáo Dục,,Nhân viên,2 năm,CLS VIỆT NAM - CÔNG TY TNHH DỊCH VỤ QUẢN LÝ HỆ THỐNG HỌC TẬP,Hồ Chí Minh,10 - 20 triệu,"Kỹ năng giao tiếp, Kỹ năng đàm phán, Kỹ năng bán hàng, Kỹ Năng Lập Kế Hoạch Và Tổ Chức, Hiểu Biết Về Thị Trường Giáo Dục",https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-phan-mem-giao-duc/1567054.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Network Administrator (Expert Level),,Trưởng nhóm,Trên 5 năm,Nichietsu,Hồ Chí Minh,"2,000 - 3,000 USD","An Ninh Mạng, Kiến Thức Sâu Về Các Giao Thức Mạng (tcp Ip, Bgp, Ospf, Eigrp), Giải Quyết Sự Cố Mạng, Quản Trị Mạng Chuyên Sâu, Thiết Lập Và Cấu Hình Các Thiết Bị Mạng (router, Switch, Firewall)",https://www.topcv.vn/viec-lam/network-administrator-expert-level/1564032.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Lập Trình Viên (Developer),,Nhân viên,1 năm,Công ty cổ phần công nghệ và giải pháp y tế,Hà Nội,12 - 25 triệu,"Làm việc nhóm, Khắc Phục Sự Cố (debugging), Quản Lý Phiên Bản (version Control Git), Viết Code (ít Nhất 1 Ngôn Ngữ Lập Trình), Kiểm Thử Code (testing)",https://www.topcv.vn/viec-lam/lap-trinh-vien-developer/1565712.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Manual Tester,,Nhân viên,2 năm,CÔNG TY CỔ PHẦN DỊCH VỤ DI ĐỘNG THỂ HỆ MỚI (NMS),Hà Nội,Thoả thuận,"SQL, phân tích yêu cầu, Test API, Viết Testcase, Thực Hiện Test Case, Kiểm Tra Chất Lượng Phần Mềm, Báo Cáo Lỗi (bug Reporting)",https://www.topcv.vn/viec-lam/manual-tester/1566996.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Monetization Optimizer,,Nhân viên,1 năm,CÔNG TY TNHH MTG TECHNOLOGY,Hà Nội,9 - 36 triệu,"Phân tích dữ liệu, Quản Lý Chiến Dịch Quảng Cáo, Tối Ưu Hóa Chuyển Đổi, A B Testing, Phân Tích Hiệu Quả Chi Phí (roi)",https://www.topcv.vn/viec-lam/monetization-optimizer/1567373.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Java Developer,,Nhân viên,5 năm,Công Ty TNHH Ecom365,Hồ Chí Minh,25 - 35 triệu,"Teamwork, Kiến Trúc Phần Mềm, Sql Và Cơ Sở Dữ Liệu Quan Hệ (mysql, Postgresql, Oracle), Java (core Java, Advanced Java), Spring Framework (spring Boot, Spring Mvc, Spring Data), Thiết Kế Và Phát Triển Api Restful",https://www.topcv.vn/viec-lam/java-developer/1566574.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Giám Đốc Điều Hành,,Giám đốc,3 năm,Công Ty TNHH Ecom365,Hồ Chí Minh,20 - 35 triệu,"Lãnh đạo, Giải quyết vấn đề, Giao tiếp hiệu quả, Ra Quyết Định, Quản Lý Chiến Lược",https://www.topcv.vn/viec-lam/giam-doc-dieu-hanh/1566566.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Thực Tập Sinh Kinh Doanh (Global),,Thực tập sinh,Không yêu cầu kinh nghiệm,Công ty TNHH HQSOFT,Hồ Chí Minh,Thoả thuận,"Bán Hàng, Kinh Doanh",https://www.topcv.vn/viec-lam/thuc-tap-sinh-kinh-doanh-global/1463402.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Senior Front-End Developer (VueJS/ReactJS) | Thu Nhập Lên Đến 37 Triệu/Tháng Tại Hà Nội,,Nhân viên,2 năm,Công ty Cổ phần Công nghệ Prep,Hà Nội,20 - 33 triệu,"HTML5, Javascript, Làm việc nhóm, TypeScript, VueJS, ReactJS",https://www.topcv.vn/viec-lam/senior-front-end-developer-vuejs-reactjs-thu-nhap-len-den-37-trieu-thang-tai-ha-noi/1567007.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Chuyên Viên C&B,,Nhân viên,2 năm,Công ty Cổ phần Công nghệ số Vitam,Hà Nội,10 - 18 triệu,"xây dựng KPI, xây dựng chính sách, xây dựng cơ chế lương thưởng, Soạn thảo chính sách phúc lợi",https://www.topcv.vn/viec-lam/chuyen-vien-cb/1533218.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Intern Laravel Backend Developer,,Thực tập sinh,Không yêu cầu kinh nghiệm,Flamedia JSC,Hồ Chí Minh,Tới 3 triệu,"Khả năng giải quyết vấn đề, Kiến Thức Về Rest Api, Ngôn Ngữ Lập Trình (java, Python, C++, Go, Php, Ruby, V.v.), Kiến Thức Cơ Bản Về Cơ Sở Dữ Liệu (sql, Nosql), Kiến Thức Về Version Control (git)",https://www.topcv.vn/viec-lam/intern-laravel-backend-developer/1566146.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
DevOps Engineer,,Nhân viên,4 năm,CÔNG TY TNHH WORLD WAVE CULTURE TECHNOLOGY,Hồ Chí Minh,35 - 45 triệu,"Git, Linux, CI/CD, Cloud Computing (aws, Azure, Gcp), Containerization (docker, Kubernetes)",https://www.topcv.vn/viec-lam/devops-engineer/1566631.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Middle PHP Developer,,Nhân viên,3 năm,Công ty TNHH Beetsoft,Hà Nội,12 - 20 triệu,"Test Execution, Defect Reporting, Test Case Design, Software Testing Methodologies (e.g., Agile, Waterfall), Bug Tracking",https://www.topcv.vn/viec-lam/middle-php-developer/1550984.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Chuyên Viên Quan Hệ Đối Tác (Mảng Viễn Thông),"Pro

Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY)",Nhân viên,3 năm,Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),Hà Nội,Thoả thuận,"Làm việc nhóm, Quản lý thời gian, Phân tích vấn đề, Giải quyết vấn đề, Giao tiếp hiệu quả",https://www.topcv.vn/viec-lam/chuyen-vien-quan-he-doi-tac-mang-vien-thong/1566879.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Software Developer - Bitrix24,,Nhân viên,1 năm,Công ty Cổ Phần Hóa Dầu Mekong,Hồ Chí Minh,13 - 15 triệu,"Code, Kiến Thức Về Bitrix24",https://www.topcv.vn/viec-lam/software-developer-bitrix24/1566891.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Tester Mobile App,,Nhân viên,2 năm,CÔNG TY TNHH ECO MOBILE,Hà Nội,13 - 18 triệu,"phân tích yêu cầu, Viết Testcase, Báo Cáo Lỗi, Thực Hiện Test, Kiểm Tra Chất Lượng Phần Mềm",https://www.topcv.vn/viec-lam/tester-mobile-app/1567151.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
AI Engineer,,Nhân viên,1 năm,CÔNG TY TNHH TIẾN ĐẠI PHÁT,Hà Nội,28 - 30 triệu,"Python, Machine Learning, Deep learning, Tensorflow/Pytorch, Computer Vision Hoặc Natural Language Processing (ít Nhất 1)",https://www.topcv.vn/viec-lam/ai-engineer/1567109.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Project Manager,"Pro

Viettel Digital",Nhân viên,2 năm,Viettel Digital,Hà Nội,Thoả thuận,"Quản Lý Dự Án, Quản Lý Ngân Sách, Quản Lý Rủi Ro, Lập Kế Hoạch Dự Án, Theo Dõi Tiến Độ Dự Án",https://www.topcv.vn/viec-lam/project-manager/1567121.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Fresher UI/UX Designer,,Nhân viên,Dưới 1 năm,CÔNG TY CỔ PHẦN CÔNG NGHỆ MOONLAB,Hà Nội,6 - 8 triệu,"Thiết Kế Giao Diện Người Dùng (ui), Thiết Kế Trải Nghiệm Người Dùng (ux), Nghiên Cứu Người Dùng (user Research), Nguyên Tắc Thiết Kế (typography, Màu Sắc, Bố Cục), Sử Dụng Phần Mềm Thiết Kế Đồ Họa (figma, Adobe Xd, Sketch)",https://www.topcv.vn/viec-lam/fresher-ui-ux-designer/1566274.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
QC/Testers Lead,,Nhân viên,1 năm,XPERC LTD,Hồ Chí Minh,Thoả thuận,"Làm việc nhóm, Kiểm Soát Chất Lượng, Quản Lý Dự Án, phân tích yêu cầu, Kiểm thử phần mềm, Viết Testcase, Lập Kế Hoạch Kiểm Thử, Thực Hiện Kiểm Thử",https://www.topcv.vn/viec-lam/qc-testers-lead/1564848.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Nhân Viên Kỹ Thuật Máy Tính,,Nhân viên,1 năm,CÔNG TY TNHH DỊCH VỤ VÀ GIẢI TRÍ GBC,Hà Nội,Trên 7 triệu,N/A,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-may-tinh/1240229.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Chuyên Viên Công Nghệ Thông Tin IT Helpdesk,,Nhân viên,3 năm,CÔNG TY CỔ PHẦN PHÁT TRIỂN VÀ ĐẦU TƯ XÂY DỰNG VINCONS,"Hà Nội, Hưng Yên",20 - 22 triệu,N/A,https://www.topcv.vn/viec-lam/chuyen-vien-cong-nghe-thong-tin-it-helpdesk/1447771.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
IT Business Analyst,,Nhân viên,3 năm,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI QUỐC TẾ ICOM,Hà Nội,20 - 30 triệu,Business Analyst,https://www.topcv.vn/viec-lam/it-business-analyst/1292029.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Junior/Senior Unity Developer (Game Giáo Dục),"Pro

FPT IS",Nhân viên,2 năm,FPT IS,Hà Nội,Thoả thuận,"C#, Unity, debug, Thiết Kế Game, Kiến Trúc Phần Mềm",https://www.topcv.vn/viec-lam/junior-senior-unity-developer-game-giao-duc/1566978.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Chuyên Viên Phân Tích Nghiệp Vụ,"Pro

Công ty Cổ phần Tập đoàn Austdoor",Nhân viên,1 năm,Công ty Cổ phần Tập đoàn Austdoor,Hà Nội,Thoả thuận,"Tư duy logic, Phân tích dữ liệu, Kỹ năng giải quyết vấn đề, Xây Dựng Báo Cáo, Trình Bày Dữ Liệu",https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu/1534162.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Nhân Viên Marketing,,Nhân viên,1 năm,Công ty TNHH MetaTech Labs Vietnam,Hà Nội,8 - 12 triệu,"Social Media Marketing, Content Marketing, Marketing Digital",https://www.topcv.vn/viec-lam/nhan-vien-marketing/1566545.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Thực Tập Sinh App Designer (UI/ UX),,Thực tập sinh,Không yêu cầu kinh nghiệm,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ GIẢI PHÁP KIM THÀNH,Hà Nội,3 - 5 triệu,"Android, Designer, iOS, UI/UX",https://www.topcv.vn/viec-lam/thuc-tap-sinh-app-designer-ui-ux/921179.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Nhân Viên Marketing,,Nhân viên,1 năm,Công ty TNHH MetaTech Labs Vietnam,Hà Nội,8 - 12 triệu,"Social Media Marketing, Content Marketing, Marketing Digital",https://www.topcv.vn/viec-lam/nhan-vien-marketing/1566545.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Thực Tập Sinh App Designer (UI/ UX),,Thực tập sinh,Không yêu cầu kinh nghiệm,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ GIẢI PHÁP KIM THÀNH,Hà Nội,3 - 5 triệu,"Android, Designer, iOS, UI/UX",https://www.topcv.vn/viec-lam/thuc-tap-sinh-app-designer-ui-ux/921179.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Thực Tập Sinh Devops,,Thực tập sinh,Không yêu cầu kinh nghiệm,CÔNG TY TNHH ZINZA TECHNOLOGY,Hà Nội,2 - 6 triệu,"Kiến Thức Về Mạng Máy Tính, Kiến Thức Cơ Bản Về Linux, Kiến Thức Về Quản Lý Cấu Hình (configuration Management), Kiến Thức Về Containerization (docker, Kubernetes), Kiến Thức Về Hệ Thống Ảo Hóa (virtualization)",https://www.topcv.vn/viec-lam/thuc-tap-sinh-devops/1566324.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Thực Tập Sinh Java,,Thực tập sinh,Không yêu cầu kinh nghiệm,Công ty cổ phần ITS GLOBAL,Hà Nội,2 - 4 triệu,"Sql Cơ Bản, Java Cơ Bản, Oop (lập Trình Hướng Đối Tượng)",https://www.topcv.vn/viec-lam/thuc-tap-sinh-java/1566214.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Middle QC Engineer,,Nhân viên,1 năm,CÔNG TY CỔ PHẦN CÔNG NGHỆ RIO VIỆT NAM,Hồ Chí Minh,14 - 18 triệu,"Web API, Kiểm Tra Chất Lượng, Scrum master, test integration, Kiểm Thử Web, Kiểm thử phần mềm, Kiểm Tra Sản Phẩm",https://www.topcv.vn/viec-lam/middle-qc-engineer/1566093.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Front-End Developer (SFA/CRM),,Nhân viên,3 năm,CÔNG TY TNHH GENIEE VIỆT NAM,Hà Nội,Tới 36 triệu,"CSS, HTML, Javascript, Angular, React",https://www.topcv.vn/viec-lam/front-end-developer-sfa-crm/1566814.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Kế Toán Thuế,,Nhân viên,1 năm,CÔNG TY TNHH KẾ TOÁN THUẾ GSC,Hồ Chí Minh,9 - 16 triệu,"Kế Toán Tổng Hợp, phần mềm kế toán, Kiến Thức Về Luật Thuế, Lập Báo Cáo Thuế, Kế Toán Chi Tiết",https://www.topcv.vn/viec-lam/ke-toan-thue/1566829.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Thực Tập Sinh Kinh Doanh,"Pro

Công ty TNHH Phân Phối Synnex FPT",Thực tập sinh,Không yêu cầu kinh nghiệm,Công ty TNHH Phân Phối Synnex FPT,Hồ Chí Minh,Thoả thuận,Kinh Doanh,https://www.topcv.vn/viec-lam/thuc-tap-sinh-kinh-doanh/1511392.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Fullstack Developer (Mạnh Java+Angular),,Nhân viên,3 năm,Công ty cổ phần ITS GLOBAL,Hà Nội,17 - 25 triệu,"REST API, Angular, Sql Hoặc Nosql, Spring Boot (hoặc Các Framework Java Khác)",https://www.topcv.vn/viec-lam/fullstack-developer-manh-java-angular/1566176.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Game Designer,"Pro

FPT IS",Nhân viên,2 năm,FPT IS,Hà Nội,Thoả thuận,"Game Balance, Thiết Kế Game, Level design, Game Mechanics, Lập Trình Game (ít Nhất 1 Ngôn Ngữ)",https://www.topcv.vn/viec-lam/game-designer/1566472.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Java Developer,,Nhân viên,2 năm,Công ty cổ phần phần mềm ITSOL Holdings,Hà Nội,15 - 28 triệu,"Git, REST APIs, Spring Framework (spring Boot, Spring Mvc, Spring Data), Java Core (oop, Collections, Multithreading), Sql And Databases (mysql, Postgresql, Oracle)",https://www.topcv.vn/viec-lam/java-developer/1566493.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Business Analysist (Freelancer),,Nhân viên,3 năm,CÔNG TY CỔ PHẦN KAOPIZ HOLDINGS,Hà Nội,Thoả thuận,"Phân Tích Nghiệp Vụ, Viết tài liệu, Giao tiếp hiệu quả, Thu Thập Và Phân Tích Dữ Liệu, Mô Hình Hóa Quy Trình",https://www.topcv.vn/viec-lam/business-analysist-freelancer/1566591.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
"Project Manager (Mảng Bank, Fintech)",,Trưởng/Phó phòng,2 năm,Công ty cổ phần Công nghệ Proton,Hà Nội,25 - 35 triệu,N/A,https://www.topcv.vn/viec-lam/project-manager-mang-bank-fintech/1259840.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Thực Tập Sinh QC (SV Năm Cuối),,Thực tập sinh,Không yêu cầu kinh nghiệm,Lampart,Hồ Chí Minh,Thoả thuận,"test cases, test plan, Automation Test, Manual Testing, Viết Testcase, Kiến Thức Cơ Bản Về Kiểm Thử Phần Mềm, Hiểu Biết Về Quy Trình Kiểm Thử Phần Mềm (stlc), Thực Hiện Test Case (manual)",https://www.topcv.vn/viec-lam/thuc-tap-sinh-qc-sv-nam-cuoi/1566201.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Human Resource Manager (IT Company),,Trưởng/Phó phòng,Trên 5 năm,Công ty Cổ phần Solazu,Hồ Chí Minh,Thoả thuận,"Quản Lý Nhân Sự, Đào Tạo Nhân Viên, luật lao động, tuyển dụng, Đánh Giá Hiệu Suất",https://www.topcv.vn/viec-lam/human-resource-manager-it-company/1566057.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
